bug_id,"short_desc","bug_status","keywords","product","component","version","op_sys","target_milestone","qa_contact","short_short_desc","assigned_to","reporter"
133051,"Please add adt1.0.0 keywords","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","Please add adt1.0.0 keywords","asa","jaimejr"
133569,"Add version 2.3, and targets 2.3/2.4 to PSM component.","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows 2000","---","timeless","Add version 2.3, and targets 2.3/2.4 to PSM component.","asa","ssaux"
138098,"Change default QA contact for Event Handling to rakeshmishra@netscape.com","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows NT","---","timeless","Change default QA contact for Event Handling to rakeshmishra@netscape.com","asa","gerardok"
163932,"Make jkeiser@netscape.com default module owner for HTML Form Controls","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows XP","---","timeless","Make jkeiser@netscape.com default module owner for HTML Form Controls","asa","john"
199499,"Clear 'Target milestone' list for mozilla.org product","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows 98","---","timeless","Clear 'Target milestone' list for mozilla.org product","asa","magicdice"
242945,"Rename Documentation: User component to Documentation: Help Viewer","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows XP","---","timeless","Rename Documentation: User component to Documentation: Help Viewer","asa","rjkeller"
251685,"Selecting General component shows ""Firebird""","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows XP","---","timeless","Selecting General component shows ""Firebird""","asa","dirkjan"
253126,"Create Camino:Translations owner: qa-mozilla@hirlimann.net qa: qa-mozilla@hirlimann.net","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Mac OS X","---","timeless","Create Camino:Translations owner: qa-mozilla@hirlimann.net qa: qa-mozilla@hirlimann.net","asa","ludovic"
253948,"DOM is not defined","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","DOM is not defined","asa","tds"
257936,"change Browser:Localization owner from localization@mozilla.bugs to kairo@kairo.at and qa from amyy@hotmail.com to mmx_bugzilla@c-comm.de","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","change Browser:Localization owner from localization@mozilla.bugs to kairo@kairo.at and qa from amyy@hotmail.com to mmx_bugzilla@c-comm.de","asa","kairo"
258316,"Change default owner for Browser:SVG from alex@croczilla.com to general@svg.bugs","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","Change default owner for Browser:SVG from alex@croczilla.com to general@svg.bugs","asa","jwatt"
259675,"need keywords for tracking server-related bugs","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","need keywords for tracking server-related bugs","asa","julien.pierre"
263511,"Add bugzilla component for plugin finder changes","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Linux","---","timeless","Add bugzilla component for plugin finder changes","asa","jst"
270061,"Create bugzilla component for XTF","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","Create bugzilla component for XTF","asa","darin.moz"
271042,"Components, Releases, Votes for UMO","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","Components, Releases, Votes for UMO","asa","Bugzilla-alanjstrBugs"
273644,"Change Thunderbird:Help Documentation owner and QA contact","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","Change Thunderbird:Help Documentation owner and QA contact","asa","jwalden+fxhelp"
281601,"patch approval flag for 1.8b","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows XP","---","timeless","patch approval flag for 1.8b","asa","bernd_mozilla"
285509,"Toolkit : Extension Manager","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","Toolkit : Extension Manager","asa","darin.moz"
287626,"need dummy accounts (and a mass re-assign) for all my seamonkey bugs","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows XP","---","timeless","need dummy accounts (and a mass re-assign) for all my seamonkey bugs","asa","sspitzer"
319377,"Please create component for reporting project governance, communication and cultural issues","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","Please create component for reporting project governance, communication and cultural issues","asa","zak"
681973,"Accounts merging request","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Accounts merging request","ashish","sriram"
191611,"updates to QA contacts for some components","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","updates to QA contacts for some components","bugzilla","bugzilla"
192146,"update QA contacts for profile and installer components","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","update QA contacts for profile and installer components","bugzilla","bugzilla"
199575,"Change QA contact for bookmarks, history and search from kasumi@netscape.com to petersen@netscape.com","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","Change QA contact for bookmarks, history and search from kasumi@netscape.com to petersen@netscape.com","bugzilla","bugzilla"
690986,"editbugs for gmontagu@gmail.com","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Linux","---","administation","editbugs for gmontagu@gmail.com","cbook","anthony.s.hughes"
577724,"Add custom field for crash signatures","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","administation","Add custom field for crash signatures","dkl","lars"
634603,"Please remove Matt Thompson from default CC list for Drumbeat bugs","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","administation","Please remove Matt Thompson from default CC list for Drumbeat bugs","dkl","mthompson2000"
642562,"Please create new component for ""Web Apps""","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Mac OS X","---","administation","Please create new component for ""Web Apps""","dkl","pfinette"
642972,"Creation of Mozilla Reps product, components and group","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","administation","Creation of Mozilla Reps product, components and group","dkl","pierros"
649659,"two new components under Mozilla Services","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Mac OS X","---","administation","two new components under Mozilla Services","dkl","rsoderberg"
649786,"Add Webtools::Elmo plus milestones for it","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","administation","Add Webtools::Elmo plus milestones for it","dkl","laura"
650913,"Add Gecko milestones to Mozilla Services :: Firefox Sync {Backend|Crypto|UI|Build}","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","administation","Add Gecko milestones to Mozilla Services :: Firefox Sync {Backend|Crypto|UI|Build}","dkl","philipp"
651301,"Move the SeaMonkey Target Milestone separator to between 2.1b3 and 2.1final","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Other","---","administation","Move the SeaMonkey Target Milestone separator to between 2.1b3 and 2.1final","dkl","iann_bugzilla"
651327,"SeaMonkey 2.2a1 flags/target-milestones","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","administation","SeaMonkey 2.2a1 flags/target-milestones","dkl","iann_bugzilla"
651583,"Enable tracking-firefox5/6 flags for Tech Evangelism and Plug-Ins bugzilla products","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Linux","---","administation","Enable tracking-firefox5/6 flags for Tech Evangelism and Plug-Ins bugzilla products","dkl","benjamin"
652106,"New component for Contributor Engagement","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Mac OS X","---","administation","New component for Contributor Engagement","dkl","paul.biggar"
653558,"Change default assignee for Marketing:Copy to mnovak and update CCs","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Change default assignee for Marketing:Copy to mnovak and update CCs","dkl","Mnovak"
654149,"Add component for Domesday","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Add component for Domesday","dkl","gerv"
655913,"Update Account Permissions for Ryan Snyder","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Update Account Permissions for Ryan Snyder","dkl","ryansnyder.me+bugs"
656387,"create Snippets product under Server Software, move bugs from Mozilla Services::Snippets to there, and remove Mozilla Services::Snippets","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Mac OS X","---","administation","create Snippets product under Server Software, move bugs from Mozilla Services::Snippets to there, and remove Mozilla Services::Snippets","dkl","chrismore.bugzilla"
657065,"Batch of updates for SeaMonkey Keywords/Flags/etc.","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Windows 7","---","administation","Batch of updates for SeaMonkey Keywords/Flags/etc.","dkl","bugspam.Callek"
657666,"Please create a Firefox Home product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Please create a Firefox Home product","dkl","sarentz"
658070,"Create Input as a product and need access to create milestones/components for that product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Create Input as a product and need access to create milestones/components for that product","dkl","mozilla"
658668,"new component: manifestparser","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","new component: manifestparser","dkl","jhammel"
666283,"Request for 'General' component in the Firefox Home product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Request for 'General' component in the Firefox Home product","dkl","sarentz"
668233,"Add ""Lightning 1.0b4"" to ""Version"" field of Product Calendar","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Add ""Lightning 1.0b4"" to ""Version"" field of Product Calendar","dkl","philipp"
668234,"Please add 1.0b5 as a new target milestone for Calendar","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Please add 1.0b5 as a new target milestone for Calendar","dkl","philipp"
668770,"Create l10n bugzilla component for Swahili (sw)","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Create l10n bugzilla component for Swahili (sw)","dkl","l10n"
668772,"Create l10n bugzilla component for Kashubian (csb)","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Create l10n bugzilla component for Kashubian (csb)","dkl","l10n"
670021,"Need custom field values for 3.6.19 chemspill","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Need custom field values for 3.6.19 chemspill","dkl","dveditz"
670570,"SeaMonkey 2.5 target-milestone/field","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","SeaMonkey 2.5 target-milestone/field","dkl","iann_bugzilla"
670732,"Add more milestones to www.mozilla.com","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Add more milestones to www.mozilla.com","dkl","lforrest"
670835,"Change description of Disability Access component of Firefox product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Change description of Disability Access component of Firefox product","dkl","surkov.alexander"
672213,"Additional version for SeaMonkey 2.4","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Additional version for SeaMonkey 2.4","dkl","iann_bugzilla"
672275,"New Bugzilla product/component for ""Webtrends""","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","New Bugzilla product/component for ""Webtrends""","dkl","chrismore.bugzilla"
674668,"Add affiliates.mozilla.org component under Websites product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Add affiliates.mozilla.org component under Websites product","dkl","chrismore.bugzilla"
675952,"Localizations missing the flag tracking-fennec","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Localizations missing the flag tracking-fennec","dkl","nhirata.bugzilla"
677387,"Flag Additions for Thunderbird 3.1.13","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Flag Additions for Thunderbird 3.1.13","dkl","mbanner"
679129,"Remove dria from default CC of planet.mozilla.org component","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Remove dria from default CC of planet.mozilla.org component","dkl","reed"
679137,"Would like a keyword ""needsURLs"" for crash investigation","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Would like a keyword ""needsURLs"" for crash investigation","dkl","mozillamarcia.knous"
679866,"New component: Server Operations: Telecom","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","New component: Server Operations: Telecom","dkl","justdave"
679926,"Additional version for SeaMonkey 2.5","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Additional version for SeaMonkey 2.5","dkl","iann_bugzilla"
679929,"SeaMonkey 2.6 target-milestone/fields","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","SeaMonkey 2.6 target-milestone/fields","dkl","iann_bugzilla"
679943,"Restrict access to Mozilla Reps forms","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Restrict access to Mozilla Reps forms","dkl","pierros"
680078,"Need some new milestones for Webtools","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Need some new milestones for Webtools","dkl","laura"
680270,"Addition of Dragnet component to Webtools product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Addition of Dragnet component to Webtools product","dkl","bsavage"
681398,"Access request for new team  members","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Access request for new team  members","dkl","ioana.chiorean"
681503,"Move divider to before mozilla9 for target milestone in Firefox Sync components","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Move divider to before mozilla9 for target milestone in Firefox Sync components","dkl","rnewman"
681762,"Rename mozilla.com component to mozilla.org/firefox","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Rename mozilla.com component to mozilla.org/firefox","dkl","cbrodigan"
681767,"Rename ""Websites - www.mozillamessaging.com"" component to ""Websites - www.mozilla.org/thunderbird""","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Windows 7","---","administation","Rename ""Websites - www.mozillamessaging.com"" component to ""Websites - www.mozilla.org/thunderbird""","dkl","sancus"
682859,"Please add 1.0b6 as a new target milestone for Calendar","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Please add 1.0b6 as a new target milestone for Calendar","dkl","philipp"
683665,"Add blog.mozilla.org to components","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Add blog.mozilla.org to components","dkl","lforrest"
684105,"new Component:  Testing:TPS","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Windows 7","---","administation","new Component:  Testing:TPS","dkl","jgriffin"
684969,"Add additional Milestones to mozilla.org/firefox","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Add additional Milestones to mozilla.org/firefox","dkl","lforrest"
685696,"Product Calendar: Target Milestone & Version field rename and additions","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Product Calendar: Target Milestone & Version field rename and additions","dkl","philipp"
686014,"Please add a 'GoFaster' Component to the Testing product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Please add a 'GoFaster' Component to the Testing product","dkl","jgriffin"
686184,"Adding ""Planning"" Component in Mozilla Reps Product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Adding ""Planning"" Component in Mozilla Reps Product","dkl","pierros"
686776,"Target Milestone for Mozilla Reps (Swag component)","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Linux","---","administation","Target Milestone for Mozilla Reps (Swag component)","dkl","pierros"
687173,"Create new bugzilla component ACL Request under serverops","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Create new bugzilla component ACL Request under serverops","dkl","ahill"
687589,"Request for new components in the Pancake product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Request for new components in the Pancake product","dkl","sarentz"
687863,"Add milestones to support.mozilla.com product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Add milestones to support.mozilla.com product","dkl","james"
688089,"editbugs for mozilla+bugcloser@davedash.com","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","editbugs for mozilla+bugcloser@davedash.com","dkl","mozilla"
688589,"Need custom field values for 3.6.24","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Need custom field values for 3.6.24","dkl","dveditz"
689240,"Need a new component Websites > workshop.mozilla.org","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Other","---","administation","Need a new component Websites > workshop.mozilla.org","dkl","chrismore.bugzilla"
689549,"Give me permissions for Bugzilla","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Give me permissions for Bugzilla","dkl","pmartins"
690005,"Add some milestones for Webtools:Socorro","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Add some milestones for Webtools:Socorro","dkl","laura"
690149,"SeaMonkey 2.7 target-milestone/fields","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","SeaMonkey 2.7 target-milestone/fields","dkl","iann_bugzilla"
691486,"Create a toronto@office.bugs alias for the Toronto office","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Create a toronto@office.bugs alias for the Toronto office","dkl","ehsan"
692449,"Create a new Trunk milestone for calendar","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Create a new Trunk milestone for calendar","dkl","philipp"
692837,"Create Testing / Peptest component","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Create Testing / Peptest component","dkl","halbersa"
694350,"Adding Documentation Component to Mozilla Localization","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Adding Documentation Component to Mozilla Localization","dkl","jbeatty"
694645,"Automatically assign ""Webtrend"" component bugs","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Automatically assign ""Webtrend"" component bugs","dkl","lforrest"
696388,"Add crash signature field to Fennec Native","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Add crash signature field to Fennec Native","dkl","aaron.train"
697495,"Need some new milestones for Webtools","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Need some new milestones for Webtools","dkl","laura"
697526,"Edit one component in the ""Snippet"" product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Edit one component in the ""Snippet"" product","dkl","lforrest"
698392,"Add a ""Hal"" component in ""Core"" product for code in hal/","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Add a ""Hal"" component in ""Core"" product for code in hal/","dkl","mounir"
699448,"Add blog.mozilla.com/theden component to product ""websites""","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Add blog.mozilla.com/theden component to product ""websites""","dkl","cbrodigan"
700058,"Delete my Bugzilla's account","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","administation","Delete my Bugzilla's account","dkl","me"
701464,"Target milestone changes to Add-on SDK Product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Windows NT","---","administation","Target milestone changes to Add-on SDK Product","dkl","kwierso"
701769,"Create a Mozillians.org product and a Phonebook and TaskBoard component within it","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Create a Mozillians.org product and a Phonebook and TaskBoard component within it","dkl","mozaakash"
702700,"Please add new component - Testing:Marionette","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Please add new component - Testing:Marionette","dkl","jgriffin"
703571,"Developer Tools would like 5 new components","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Developer Tools would like 5 new components","dkl","jwalker"
703622,"New group for amo-editors","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Windows 7","---","administation","New group for amo-editors","dkl","awilliamson"
703688,"Retire Mozilla Labs / OpenWebApps","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Retire Mozilla Labs / OpenWebApps","dkl","ianb"
704537,"Remove ""Fennec"" from Pretty product chooser, and add ""Fennec Native""","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Remove ""Fennec"" from Pretty product chooser, and add ""Fennec Native""","dkl","johnath"
704607,"Request: please add .25+ to the blocking1.9.2 flag","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Request: please add .25+ to the blocking1.9.2 flag","dkl","akeybl"
705529,"Provide access for approval-comm- flags on patches for calendar-drivers","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Provide access for approval-comm- flags on patches for calendar-drivers","dkl","philipp"
706855,"Add some milestones for Webtools:Socorro","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Add some milestones for Webtools:Socorro","dkl","laura"
708761,"Turn Webtools::Socorro into a product called Socorro","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Turn Webtools::Socorro into a product called Socorro","dkl","laura"
710314,"Please remove imelven@adobe.com account from bugzilla/ldap etc","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Other","---","administation","Please remove imelven@adobe.com account from bugzilla/ldap etc","dkl","imelven"
711337,"Please add a ""DOM: Device Interfaces"" component to the ""Core"" product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Please add a ""DOM: Device Interfaces"" component to the ""Core"" product","dkl","philipp"
711776,"Create a Core::MFBT component","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Create a Core::MFBT component","dkl","jwalden+bmo"
711781,"Add ""Air Mozilla"" component to ""mozilla.org"" product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Add ""Air Mozilla"" component to ""mozilla.org"" product","dkl","richard"
712323,"Add Target Milestone, Version, and tracking flags to Fennec Native product","RESOLVED","mobile","bugzilla.mozilla.org","Administration","Current","Android","---","administation","Add Target Milestone, Version, and tracking flags to Fennec Native product","dkl","mbrubeck"
712344,"Removing cc of Jason Haas in Mozilla Reps Swag Requests","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Removing cc of Jason Haas in Mozilla Reps Swag Requests","dkl","pierros"
713639,"Moving reps.mozilla.org component to Mozilla Reps product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Moving reps.mozilla.org component to Mozilla Reps product","dkl","pierros"
714086,"Need to change product from  support.mozilla.com to  support.mozilla.org","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Need to change product from  support.mozilla.com to  support.mozilla.org","dkl","swarnavasengupta"
714094,"Please add new component:  Testing:Autolog","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Please add new component:  Testing:Autolog","dkl","jgriffin"
714479,"Add Air Mozilla Product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Add Air Mozilla Product","dkl","richard"
716305,"Remove Air Mozilla component of mozilla.org product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Remove Air Mozilla component of mozilla.org product","dkl","richard"
716421,"remove Webtools/Soccoro","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","remove Webtools/Soccoro","dkl","matspal"
716434,"Change default assignee for Mozilla Reps :: Swag Requests bugs","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Change default assignee for Mozilla Reps :: Swag Requests bugs","dkl","pierros"
716907,"I am not permitted to file a legal bug","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","I am not permitted to file a legal bug","dkl","katrin"
717745,"Contact email address for ui-reviews and ux feedback requests","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Contact email address for ui-reviews and ux feedback requests","dkl","jwein"
718482,"Creation of ""Community IT requests"" component in Mozilla Reps product","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Creation of ""Community IT requests"" component in Mozilla Reps product","dkl","pierros"
718845,"Please create a new Product called ""UDC"" for now","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Please create a new Product called ""UDC"" for now","dkl","dascher"
719598,"Please create a component for the Gecko Profiler","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Please create a component for the Gecko Profiler","dkl","ehsan"
721465,"Please create a new bugzilla component for Server Operations: Infrastructure","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Please create a new bugzilla component for Server Operations: Infrastructure","dkl","jdow"
725008,"Need to restrict visibility of some Air Mozilla bugs","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Need to restrict visibility of some Air Mozilla bugs","dkl","richard"
726117,"Add 'Social Media' component to product 'Marketing'","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Add 'Social Media' component to product 'Marketing'","dkl","williamr"
727252,"Remove webtools::kubla","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Linux","---","administation","Remove webtools::kubla","dkl","clouserw"
727257,"Remove Webtools::Uninstall Survey","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Linux","---","administation","Remove Webtools::Uninstall Survey","dkl","clouserw"
727513,"Make sure bugs under Mozilla Reps :: reps.mozilla.org are filled without groups checked","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","Mac OS X","---","administation","Make sure bugs under Mozilla Reps :: reps.mozilla.org are filled without groups checked","dkl","pierros"
728367,"Need some new milestones for Socorro","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Need some new milestones for Socorro","dkl","laura"
728387,"Please update milestones for  SUMO...","RESOLVED",,"bugzilla.mozilla.org","Administration","Current","All","---","administation","Please update milestones for  SUMO...","dkl","rrosario"
412119,"please grant my seth@sspitzer.org the proper privs","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","please grant my seth@sspitzer.org the proper privs","dveditz","sspitzer"
513677,"Add ""Mobile"" component to support.mozilla.com","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","Add ""Mobile"" component to support.mozilla.com","gavin.sharp","laura"
518116,"no option to file bugs for fennec on 1.9.2, only trunk","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","no option to file bugs for fennec on 1.9.2, only trunk","gavin.sharp","jmaher"
